video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,There was a lot of deaf people in the community that were involved in the community and they were able to communicate with each other.,1.0949097117021058,1.168540257370413,0.07363054566830707,44.02629733085632
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",The company also said it was the first time that the company would like to share their presentations with the community about their presidency with the U.S. President Mike Pence.,1.3570157954969857,1.324236770971906,-0.032779024525079636,23.255528509616852
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",The company also said that the company will be able to provide access to deaf and hard of hearing individuals with disabilities and hard of hearing individuals.,1.3875400533801632,1.4740330775332924,0.0864930241531292,18.218466639518738
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,There was a lot of people in the United States who were in the United States and the United States.,1.6370989813192471,1.6937026351690292,0.056603653849782054,30.293795466423035
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,The first thing I want to share with you about is I want to share with you about this is I want to share with you about the community with you about the community.,1.9142845009919256,1.9399477310287647,0.025663230036839124,36.00868582725525
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,The company also said that it was the first time that there were several people who were involved in the shooting and killing themselves in the shooting and killing themselves in the shooting and killing themselves in the house.,1.5540158259371917,1.5180323348380624,-0.03598349109912924,28.53444814682007
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",The company also said they were able to communicate with the community through Video Relay Services and Programs for the Deaf.,1.322290441940857,1.3812823029501098,0.0589918610092528,18.85409951210022
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,He was the first to know that he was the first to know the deaf community.,1.362215445842594,1.3866154190926057,0.024399973250011753,31.373217701911926
8-Ben-Control-of-sound-places_12,122,negation-reversed,"Bill Ennis told a great story about ""bubbles"".","Bill Ennis didn't tell a great story about ""bubbles"".",The first thing I want to share with you about is I want to share with you about some of your thoughts with you about the presentation with you.,2.034833677905671,1.8157185153276831,-0.2191151625779879,34.420737624168396
Cory_2013-6-27_sc114_16,123,negation-reversed,Bob frequently gives his sweetheart roses.,Bob doesn't frequently give his sweetheart roses.,That's where the community was found in the United States.,1.7782172411680222,1.6422328853607178,-0.1359843558073044,19.002684950828552
Cory_2013-6-27_sc114_16,124,negation-reversed,Bob gave a rose to his wife because it's their anniversary today.,Bob didn't give a rose to his wife because it's not their anniversary today.,There was a lot of people in the United States who were in the United States and the United States.,1.3130098592602846,1.27892232662091,-0.034087532639374585,26.569825410842896
Jonathan_2012-11-27_sc96_17,125,negation-reversed,Bob gave roses to his girlfriend.,Bob didn't give roses to his girlfriend.,Commercial,1.4328302467132317,1.4600045713709622,0.02717432465773051,2.347540855407715
Jonathan_2012-11-27_sc96_17,126,negation-reversed,Bob goes to the post office.,Bob doesn't go to the post office.,Communication,1.3641916757513737,1.3415683194994927,-0.022623356251880944,2.1340787410736084
Jonathan_2012-11-27_sc96_17,127,negation-reversed,Bob has a big dog.,Bob doesn't have a big dog.,Captioned by aslcaptions.ca,1.9081744277163555,1.5239040303443159,-0.3842703973720396,13.39196264743805
Jonathan_2012-11-27_sc97_19,128,negation-reversed,Bob hates reading books.,Bob doesn't hate reading books.,There is a lot of difference between the two deaf and hard of hearing children.,1.8954231834411621,1.5405733697116375,-0.3548498137295246,26.97719931602478
Jonathan_2012-11-27_sc96_17,129,negation-reversed,Bob needs to go to the post office because he needs stamps.,Bob doesn't need to go to the post office because he doesn't need stamps.,Audience,1.279736112554868,1.1905943830371708,-0.08914172951769728,0.23741275072097778
Cory_2013-6-27_sc114_16,130,negation-reversed,Bob needs to go to the post office to buy stamps.,Bob doesn't need to go to the post office to buy stamps.,The country believes that the country was the only one who believed in him.,1.484130963459611,1.4415693935333638,-0.042561569926247156,26.124489307403564
Cory_2013-6-27_sc114_16,131,negation-reversed,Bob read a book.,Bob didn't read a book.,History,2.0532653520212456,1.765470579576989,-0.28779477244425666,3.2730981707572937
Jonathan_2012-11-27_sc96_17,132,negation-reversed,Bob read a book.,Bob didn't read a book.,Privacy,2.0881030252751183,1.7554349893083174,-0.33266803596680083,0.06395876407623291
Cory_2013-6-27_sc114_16,133,negation-reversed,Bob sent a letter.,Bob didn't send a letter.,Beliefs,1.7391253335303383,1.6039662630512164,-0.1351590704791219,1.0577976703643799
Cory_2013-6-27_sc114_16,134,negation-reversed,Bob went to the post office.,Bob didn't go to the post office.,They were able to communicate with Deaf people.,1.2458320786726886,1.3688653920064955,0.12303331333380685,26.564499735832214
Rachel_2012-01-27_sc52_11,135,negation-reversed,Bob works at the bike store.,Bob doesn't work at the bike store.,"In the future, there were many people in the world.",1.7826786269915516,1.7732149159742727,-0.00946371101727883,27.63354480266571
Cory_2013-6-27_sc107_19,136,negation-reversed,Boston is a great city.,Boston isn't a great city.,History,1.803408264182508,1.8151668335000675,0.011758569317559475,0.8683785796165466
7-Ben-Social-Msg_7,137,negation-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Both of these cases don't basically involve the range of cultural acceptance for making noise.,The company also said they were able to communicate with their community and they were able to communicate with their friends and families.,1.2476615909947437,1.25069308939733,0.003031498402586319,27.26176381111145
2-Ben-Voice-Identity_15,138,negation-reversed,but the interpreter is speaking with a very high pitched voice.,but the interpreter isn't speaking with a very high pitched voice.,I was born deaf and raised here in Minnesota.,1.3214450143277645,1.4145664657229808,0.09312145139521633,24.00479018688202
Rachel_2012-01-27_sc51_11,139,negation-reversed,"Cousin John's car broke down, do you remember?","Cousin John's car didn't break down, do you remember?",This is the first time that the community knew about the world's language.,1.9685182648294783,1.8691590627724375,-0.09935920205704085,21.154551208019257
Rachel_2012-01-27_sc50_10,140,negation-reversed,Dad is like me. He likes chocolate cereal.,Dad is not like me. He likes chocolate cereal.,Memory,2.00819641057142,1.9130952029310642,-0.09510120764035568,-0.5826011300086975
Cory_2013-6-27_sc110_14,141,negation-reversed,"Dad likes chocolate cereal, like me.","Dad doesn't like chocolate cereal, like me.",This is the concept of the Canadian Republic of Canada.,1.9747271571006324,1.7095667150887577,-0.2651604420118747,22.95420914888382
Rachel_2012-01-27_sc50_10,142,negation-reversed,Dad likes chocolate cereal.,Dad doesn't like chocolate cereal.,The first thing I want to share with you about is the concept of the presentation.,1.967583432261433,1.5747159774814332,-0.39286745477999974,28.364020586013794
Cory_2013-6-27_sc107_19,143,negation-reversed,Demi Moore's first husband was Bruce Willis.,Demi Moore's first husband wasn't Bruce Willis.,His husband.,2.0322628314296405,2.11844056363528,0.0861777322056394,19.277770817279816
5-Ben-Deaf-Grunts_19,144,negation-reversed,"Each time they hit the ball, the players grunt, it happens often throughout the game.","Each time they don't hit the ball, the players grunt, it happens often throughout the game.",The company also said that it was not the first time that there were a lot of people who were involved in the campaign.,1.451456306112367,1.4466441272879424,-0.00481217882442464,22.948941588401794
4-Ben-Deaf-Speech_19,145,negation-reversed,Even when Deaf people are working or involved with business tasks.,Even when Deaf people are not working or involved with business tasks.,The company also said they were not able to communicate with the community and they were able to communicate with the community.,1.2745769491502599,1.233926311974794,-0.0406506371754658,32.880350947380066
Rachel_2012-02-14_sc63_13,146,negation-reversed,Everyone knows that John left to drive to Maine.,Everyone doesn't know that John left to drive to Maine.,The company also said they were able to communicate with the community through the community.,1.8326696756542946,1.6668492489095246,-0.16582042674477004,25.22636651992798
Jonathan_2012-11-27_sc90_12,147,negation-reversed,Father arrived home late at night.,Father didn't arrive home late at night.,This is the first thing I want to share with you about today.,1.918508118497474,1.7513569846931027,-0.1671511338043712,25.368893146514893
Jonathan_2012-11-27_sc96_17,148,negation-reversed,Father is currently mowing the lawn.,Father isn't currently mowing the lawn.,God is also the only one who is deaf.,1.8435079986984666,1.9097429503686727,0.0662349516702061,24.205344915390015
Cory_2013-6-27_sc114_16,149,negation-reversed,Father is mowing the grass.,Father isn't mowing the grass.,Private,2.0947882127282873,2.1935691010327107,0.09878088830442344,-1.2345418334007263
4-Ben-Deaf-Speech_19,150,negation-reversed,"First, nasal, second, high pitch, and third, loud. Deaf speech tends to have these same 3 irritating characteristics.","First, nasal, second, high pitch, and third, loud. Deaf speech doesn't tend to have these same 3 irritating characteristics.",The company also said they were not sure if they would like to share their experiences with their families or friends about their experiences with them.,1.7416149419495615,1.7130816564559936,-0.028533285493567817,16.483110189437866
5-Ben-Deaf-Grunts_19,151,negation-reversed,For example Howard Dean ran for President as a Democrat candidate in the 2004 Iowa Caucus.,For example Howard Dean didn't run for President as a Democrat candidate in the 2004 Iowa Caucus.,President Trump and Republican President Trump.,1.553229428090892,1.5485994881969325,-0.004629939893959545,22.15500771999359
5-Ben-Deaf-Grunts_19,152,negation-reversed,"For example, Bauhman shared his locker room experience.","For example, Bauhman didn't share his locker room experience.",Captioned by aslcaptions.com,1.8059805946291558,1.7421138349079317,-0.06386675972122413,8.26786458492279
7-Ben-Social-Msg_7,153,negation-reversed,"For example, CODA children often...","For example, CODA children don't often...",There was a lot of people who were interested in joining the community in the community.,2.147817927516169,2.0016602565135275,-0.14615767100264154,19.734853506088257
5-Ben-Deaf-Grunts_19,154,negation-reversed,"For example, in professional tennis, grunts happen very often.","For example, in professional tennis, grunts don't happen very often.",The first thing I want to share with you is that I have noticed that there are many people who are deaf or hard of hearing and hard of hearing people who are deaf or hard of hearing.,1.6988053319473115,1.570191745362852,-0.12861358658445954,26.097822189331055
2-Ben-Voice-Identity_15,155,negation-reversed,"For example, in some areas of the world, people have a strong tendency to talk fast.","For example, in some areas of the world, people don't have a strong tendency to talk fast.",The company also said that it was not the first time that there were many people who were involved in the case of the pandemic.,1.223422587093185,1.1965700583225423,-0.026852528770642703,22.782045602798462
3-Ben-Voice-Life_21,156,negation-reversed,"For example, Parkf did many studies on...","For example, Parkf didn't do many studies on...",The first thing that I want to share with you is the president of the conference with you is the president of the conference.,2.2811911686190536,2.161684189302226,-0.11950697931682752,28.227096796035767
Rachel_2012-02-14_sc66_27,157,negation-reversed,"For example, they used different words for each group while asking them the questions.","For example, they didn't use different words for each group while asking them the questions.",There was a lot of deaf people in the United States who were in the United States who were in the United States.,1.197969467732413,1.2141472611135693,0.016177793381156214,31.965753436088562
Rachel_2012-02-09_sc60_14,158,negation-reversed,France has a king now?,France doesn't have a king now?,The future of the Lord.,2.303303385882274,1.7968567258212715,-0.5064466600610023,24.83140528202057
Rachel_2012-02-09_sc60_14,159,negation-reversed,France's king is bald.,France's king isn't bald.,The Queen was raised from his head to his head.,2.327820063609144,2.370672706514597,0.042852642905452765,31.741952896118164
Rachel_2012-02-09_sc60_14,160,negation-reversed,"France's king is bald. No, that's not true.","France's king isn't bald. No, that's not true.","Growing up in the United States, there was a long time ago.",1.9295097040859135,1.9885521550920415,0.05904245100612804,19.769379496574402
Jonathan_2012-11-27_sc96_17,161,negation-reversed,Friends are going to sunbathe at the beach.,Friends aren't going to sunbathe at the beach.,The first thing I want to share with you about is the deaf community and hard of hearing community.,1.8703709797595034,1.8830529124812876,0.012681932721784195,30.760937929153442
Jonathan_2012-11-27_sc96_17,162,negation-reversed,Friends are going to watch at the movie theater.,Friends aren't going to watch at the movie theater.,Believers,1.4427685328588193,1.4287581290476596,-0.0140104038111597,3.596915304660797
Jonathan_2012-11-27_sc96_17,163,negation-reversed,Friends are playing Frisbee.,Friends aren't playing Frisbee.,Communication Access News,2.011500236032338,2.1102471109479666,0.09874687491562861,4.1711509227752686
Jonathan_2012-11-27_sc90_12,164,negation-reversed,Friends get together to go out.,Friends don't get together to go out.,In the future.,1.7482325908495113,1.6930592450264252,-0.055173345823086084,19.551783800125122
Cory_2013-6-27_sc114_16,165,negation-reversed,Friends go out to the movie theater.,Friends don't go out to the movie theater.,Celebrating the theory of performing.,1.7005468069298848,1.6033550551117852,-0.09719175181809958,26.48007869720459
Cory_2013-6-27_sc115_17,166,negation-reversed,Friends go to a different movie because they prefer action movies.,Friends don't go to a different movie because they prefer action movies.,There was an open mind and there was an anger in the community and there was a lot of people in the world.,1.4344839962449536,1.378065451826543,-0.056418544418410654,33.48865807056427
Cory_2013-6-27_sc114_16,167,negation-reversed,Friends hosted a pizza dinner.,Friends didn't host a pizza dinner.,It was a lifetime experience for me.,1.8787430516414103,1.8629855253837175,-0.015757526257692778,27.28700339794159
Cory_2013-6-27_sc114_16,168,negation-reversed,Friends play frisbee.,Friends don't play frisbee.,Communication access,2.7285870730199595,2.3207033641104187,-0.40788370890954084,-1.5394806861877441
Rachel_2012-02-09_sc58_12,169,negation-reversed,Go home!,Don't go home!,Captioned by aslcaptions.com,3.2095229344235525,2.531613223999739,-0.6779097104238136,15.891638398170471
8-Ben-Control-of-sound-places_12,170,negation-reversed,"He was making bubbles creatively. After that, he flushed.","He wasn't making bubbles creatively. After that, he flushed.",The company also said they were not sure if they would like to share their stories with you.,1.4546380658987268,1.4949801519024568,0.040342086003730016,26.33574604988098
8-Ben-Control-of-sound-places_12,171,negation-reversed,He was pleased with the remark. His parents gave up about it and left him alone.,He wasn't pleased with the remark. His parents gave up about it and left him alone.,There was a lot of deaf people in the United States that were in the United States and Canada.,1.2932791846953793,1.3324879071276103,0.03920872243223106,25.43538808822632
8-Ben-Control-of-sound-places_12,172,negation-reversed,He was shocked because she used the same line as his parents when he was growing up.,He wasn't shocked because she used the same line as his parents when he was growing up.,The company also said that there were a lot of diverse parents who were involved in the process because they didn't have access to it.,0.9349923986722442,0.981152793688869,0.04616039501662483,28.197652101516724
Cory_2013-6-27_sc111_12,173,negation-reversed,He will buy flowers for sure.,He will not buy flowers for sure.,This is an interesting experience.,1.578580467775464,1.5118498895317316,-0.06673057824373241,27.34435796737671
Rachel_2012-02-14_sc63_13,174,negation-reversed,He/She knows many different men.,He/She doesn't know many different men.,You know that you are the only ones who are deaf and hard of hearing.,1.746399795580091,1.5584254510700704,-0.1879743445100206,33.587247133255005
Rachel_2012-02-14_sc63_13,175,negation-reversed,He/She used to own a big boat.,He/She didn't use to own a big boat.,There are many people who are deaf and hard of hearing and hard of hearing.,2.3530175092239536,2.296957907040377,-0.05605960218357664,29.058903455734253
Rachel_2012-02-09_sc57_9,176,negation-reversed,"He/She will buy flowers for you, for sure.","He/She will not buy flowers for you, for sure.",Captioned by aslcaptions.com,1.8295356614818408,1.7502591902429754,-0.07927647123886539,13.088387250900269
Rachel_2012-02-09_sc57_9,177,negation-reversed,He/She will for sure give him/her flowers.,He/She will for sure not give him/her flowers.,Captioned by aslcaptions.com,2.223099750315034,2.105094905387848,-0.11800484492718599,11.570358276367188
Rachel_2012-02-14_sc62_9,178,negation-reversed,Her car is here.,Her car isn't here.,This is what I want to say about the presentation of the ASL Club.,2.2700933393310097,2.0620441082865,-0.20804923104450967,24.99188482761383
Cory_2013-6-27_sc110_14,179,negation-reversed,"Hey wait, I do like pineapple cream cheese!","Hey wait, I don't like pineapple cream cheese!",Captioned by aslcaptions.com,1.8569585089148446,1.76094273279639,-0.09601577611845458,13.174711167812347
Cory_2013-6-27_sc110_14,180,negation-reversed,Hey! I like chocolate cereal.,Hey! I don't like chocolate cereal.,This is an important thing for me to share with you.,1.7384767490128676,1.6370282309750717,-0.10144851803779598,37.648072838783264
Rachel_2012-02-14_sc63_13,181,negation-reversed,His/Her father left.,His/Her father didn't leave.,And that's what I want to say about this year.,2.234312223181838,1.764638212220422,-0.4696740109614159,14.571236073970795
Jonathan_2012-11-27_sc96_17,182,negation-reversed,Horses play on the farmland because they are too old to race.,Horses don't play on the farmland because they are too old to race.,There was a lot of deaf people in the United States and the United States in the United States.,1.3858024553666193,1.331728369326276,-0.05407408604034325,19.800306856632233
Jonathan_2012-11-27_sc96_17,183,negation-reversed,Horses played on the farmland.,Horses didn't play on the farmland.,Lungs,1.8665160945346277,1.7385576034171715,-0.12795849111745627,5.370995402336121
Rachel_2012-02-14_sc63_13,184,negation-reversed,I already announced that it will rain tomorrow.,I didn't yet announce that it will rain tomorrow.,There is a lot of diversity in the community.,1.2801907199900597,1.551791764497757,0.2716010445076973,29.488608241081238
Cory_2013-6-27_sc109_21,185,negation-reversed,Your mom will love the gift you just bought for her.,Your mom will not love the gift you just bought for her.,Captioned by aslcaptions.com,1.552400670594202,1.4847591195843721,-0.06764155100982983,14.626692235469818
Jonathan_2012-11-27_sc96_17,186,negation-reversed,Your friend is passed out!,Your friend isn't passed out!,Deaf parents,1.7618036079737875,1.9204291214545568,0.15862551348076925,12.421360611915588
Rachel_2012-02-09_sc59_10,187,negation-reversed,"Your family, specifically your parents, are important.","Your family, specifically your parents, aren't important.",This is the first time that the students were able to communicate with the deaf children in their lives.,1.2064785051074896,1.2698794739513561,0.06340096884386659,22.21226990222931
Cory_2013-6-27_sc107_19,188,negation-reversed,You must read the book because there is a test tomorrow.,You must not read the book because there is a test tomorrow.,"In the past, there was a long time ago.",1.2680875619121812,1.2944435846121585,0.026356022699977277,37.89600729942322
Rachel_2012-02-09_sc59_10,189,negation-reversed,You are breaking the rules if there is no tax.,You are not breaking the rules if there is no tax.,There was a lot of difference between the two deaf and hard of hearing communities.,1.5304470287358507,1.5046236992028414,-0.025823329533009254,20.199380815029144
Rachel_2012-02-14_sc62_9,190,negation-reversed,"Yesterday, it rained four times.","Yesterday, it didn't rain four times.",The company also said that it was the first time that there were several people who were involved with the process of being able to communicate with each other.,1.5234757885336876,1.4941162352303141,-0.029359553303373476,29.818475246429443
Rachel_2012-02-14_sc63_13,191,negation-reversed,"Yesterday, it rained all day.","Yesterday, it didn't rain all day.","It was a lot higher quality and a lot of higher quality and overall, it just improved all day.",1.3452725718418757,1.4077542508287089,0.06248167898683321,40.70942997932434
Rachel_2011-12-01_sc43_12,192,negation-reversed,Yesterday I worked all day.,Yesterday I didn't work all day.,The theory of the day,1.5496158979034849,1.555140323711164,0.005524425807679201,19.54026222229004
Rachel_2012-01-27_sc51_11,193,negation-reversed,"Yes, the car really is broken down.","Yes, the car really isn't broken down.",There was a lot of deaf people in the United States and Canada.,1.3379920992172427,1.3033865993985763,-0.03460549981866645,25.246453285217285
Rachel_2012-01-27_sc51_11,194,negation-reversed,"Yes, the car is broken down.","Yes, the car isn't broken down.",This is what I want to share with you about the community.,1.2491140655916313,1.3506604896392673,0.10154642404763603,34.718310832977295
Rachel_2012-01-27_sc50_10,195,negation-reversed,"Yes, I like pineapple cream cheese.","Yes, I don't like pineapple cream cheese.",The company also said that it was not the first time that they were in the community to be able to communicate with them.,1.545732934234871,1.5123401672712393,-0.03339276696363158,23.817555606365204
Rachel_2012-02-09_sc60_14,196,negation-reversed,"Yes, he/she talks a lot.","Yes, he/she doesn't talk a lot.",Systems,1.9937027218937873,1.7280220218235627,-0.2656807000702246,-0.08064061403274536
Cory_2013-6-27_sc107_19,197,negation-reversed,Wow! That watch costs three thousand dollars!,Wow! That watch doesn't cost three thousand dollars!,It was the most important thing to do is to believe that there was a significant impact on the country.,1.5100231769940127,1.4718657559803072,-0.03815742101370545,24.979910254478455
Rachel_2012-02-14_sc63_13,198,negation-reversed,"Wow, that man knows George Clooney.","Wow, that man doesn't know George Clooney.",That was the first time they were able to communicate with the community.,2.293635183531377,1.9046069180896117,-0.38902826544176516,24.838492274284363
Rachel_2012-02-14_sc63_13,199,negation-reversed,"Wow, it's raining now, whatever, I'm going out still.","Wow, it's not raining now, whatever, I'm going out still.",The company also said it was the first time that they were in the case of the crime.,1.663448150649115,1.715559166952454,0.05211101630333892,26.50057077407837
Rachel_2012-02-09_sc58_12,200,negation-reversed,"Wow, I'm really tired.","Wow, I'm not really tired.",There were a lot of people who were involved in the case of the victims of the crime.,1.8439358796762384,1.7150413892059415,-0.12889449047029689,34.92763638496399
Rachel_2012-02-14_sc63_13,201,negation-reversed,"Wow, his/her friend is a tall man.","Wow, his/her friend is not a tall man.",The company says it will be the most important thing to keep in mind is the moon.,1.9372976557484696,1.79306552434961,-0.1442321313988595,27.50905156135559
Rachel_2012-02-14_sc63_13,202,negation-reversed,"Wow, he/she left fast.","Wow, he/she did not leave fast.",This is the first time that the president was able to communicate with him.,2.4872211493227794,1.8427955803927034,-0.644425568930076,23.13188910484314
2-Ben-Voice-Identity_15,203,negation-reversed,Wow there are a lot of different experiences.,Wow there are not a lot of different experiences.,And that's what I'm going to talk about in the future.,0.9180213001597187,1.059047145470977,0.14102584531125817,36.22947931289673
7-Ben-Social-Msg_7,204,negation-reversed,"with the clip and the sticky strip to seal the envelope, it's fine to open that slowly.","with the clip and the sticky strip to seal the envelope, it's not fine to open that slowly.",The first thing I want to share with you about is I want to share with you about the ASL Club of CSN Facebook page.,1.6555823435244912,1.6224092186388115,-0.033173124885679695,24.677187204360962
Cory_2013-6-27_sc107_19,205,negation-reversed,"When you watch that movie, you will remember that famous actor.","When you watch that movie, you will not remember that famous actor.",There was a lot of people in the United States in the United States and Canada.,1.1972408205620013,1.227054485503365,0.029813664941363616,31.761616468429565
Cory_2013-6-27_sc107_19,206,negation-reversed,"When you get the book, read chapter two.","When you get the book, don't read chapter two.",This is a problem between the country and the U.S.,1.7918664628594387,1.8123498881592395,0.02048342529980074,24.49869066476822
Jonathan_2012-11-27_sc97_19,207,negation-reversed,"When my friend goes sunbathing at the beach, I have to bring lotion.","When my friend goes sunbathing at the beach, I don't have to bring lotion.",The holiday season is coming up soon.,1.9339687515428101,1.8045782091716924,-0.1293905423711177,32.72061347961426
